,trimester,tagID,counts
0,1956Q2,39,1
1,1956Q3,103,1
2,1956Q3,10021,1
3,1957Q1,1474,1
4,1979Q2,311,1
5,2005Q3,17,54
6,2005Q3,370,49
7,2005Q3,2191,48
8,2005Q3,2726,48
9,2005Q3,1,42
10,2005Q4,73,67
11,2005Q4,81,62
12,2005Q4,79,56
13,2005Q4,25,52
14,2005Q4,134,51
15,2006Q1,73,115
16,2006Q1,364,65
17,2006Q1,79,55
18,2006Q1,192,52
19,2006Q1,4938,49
20,2006Q2,73,181
21,2006Q2,25,115
22,2006Q2,24,109
23,2006Q2,192,82
24,2006Q2,16,75
25,2006Q3,73,151
26,2006Q3,24,118
27,2006Q3,79,105
28,2006Q3,39,73
29,2006Q3,127,71
30,2006Q4,81,174
31,2006Q4,73,167
32,2006Q4,79,140
33,2006Q4,130,100
34,2006Q4,18,98
35,2007Q1,73,125
36,2007Q1,79,103
37,2007Q1,18,99
38,2007Q1,81,87
39,2007Q1,61,65
40,2007Q2,73,241
41,2007Q2,79,179
42,2007Q2,81,134
43,2007Q2,130,124
44,2007Q2,18,107
45,2007Q3,73,268
46,2007Q3,79,257
47,2007Q3,81,199
48,2007Q3,24,177
49,2007Q3,18,149
50,2007Q4,73,399
51,2007Q4,79,336
52,2007Q4,81,220
53,2007Q4,18,183
54,2007Q4,78,154
55,2008Q1,73,318
56,2008Q1,130,231
57,2008Q1,81,210
58,2008Q1,79,205
59,2008Q1,24,202
60,2008Q2,73,415
61,2008Q2,79,328
62,2008Q2,24,300
63,2008Q2,18,288
64,2008Q2,81,267
65,2008Q3,73,391
66,2008Q3,79,334
67,2008Q3,24,312
68,2008Q3,81,283
69,2008Q3,130,248
70,2008Q4,73,344
71,2008Q4,18,294
72,2008Q4,79,278
73,2008Q4,24,261
74,2008Q4,130,260
75,2009Q1,73,491
76,2009Q1,130,317
77,2009Q1,24,307
78,2009Q1,18,297
79,2009Q1,81,277
80,2009Q2,73,524
81,2009Q2,24,367
82,2009Q2,79,353
83,2009Q2,81,312
84,2009Q2,130,285
85,2009Q3,73,359
86,2009Q3,79,308
87,2009Q3,81,278
88,2009Q3,18,274
89,2009Q3,24,264
90,2009Q4,73,320
91,2009Q4,24,299
92,2009Q4,79,233
93,2009Q4,130,228
94,2009Q4,18,226
95,2010Q1,73,587
96,2010Q1,24,473
97,2010Q1,18,398
98,2010Q1,79,387
99,2010Q1,130,369
100,2010Q2,73,587
101,2010Q2,24,520
102,2010Q2,18,441
103,2010Q2,79,382
104,2010Q2,81,312
105,2010Q3,73,506
106,2010Q3,24,504
107,2010Q3,130,383
108,2010Q3,18,371
109,2010Q3,79,322
110,2010Q4,73,447
111,2010Q4,18,410
112,2010Q4,24,406
113,2010Q4,81,357
114,2010Q4,130,340
115,2011Q1,73,332
116,2011Q1,24,268
117,2011Q1,18,189
118,2011Q1,79,186
119,2011Q1,81,173
120,2011Q2,73,144
121,2011Q2,18,126
122,2011Q2,24,104
123,2011Q2,79,89
124,2011Q2,81,74
